run_number,min_score,max_score_diff,weight_year,weight_title,weight_author,F0.5,F1,F1.5,FN,FP,Positive Predictions,Positive References,Precision,Recall,TP
120,0.85,0.04,0.4,2.0,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
121,0.85,0.04,0.4,2.2,0.8,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
122,0.85,0.04,0.4,2.2,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
123,0.85,0.04,0.4,2.2,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
124,0.85,0.04,0.4,2.4,0.8,0.9639830508474575,0.9430051813471503,0.9300314465408804,7,2,93,100,0.978494623655914,0.91,91
125,0.85,0.04,0.4,2.4,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
126,0.85,0.04,0.4,2.4,1.2,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
127,0.85,0.04,0.5,2.0,0.8,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
128,0.85,0.04,0.5,2.0,1.0,0.9782608695652175,0.9473684210526316,0.9285714285714287,10,0,90,100,1.0,0.9,90
129,0.85,0.04,0.5,2.0,1.2,0.9758771929824561,0.9417989417989417,0.9211783439490445,11,0,89,100,1.0,0.89,89
130,0.85,0.04,0.5,2.2,0.8,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
131,0.85,0.04,0.5,2.2,1.0,0.9782608695652175,0.9473684210526316,0.9285714285714287,10,0,90,100,1.0,0.9,90
132,0.85,0.04,0.5,2.2,1.2,0.9758771929824561,0.9417989417989417,0.9211783439490445,11,0,89,100,1.0,0.89,89
133,0.85,0.04,0.5,2.4,0.8,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
134,0.85,0.04,0.5,2.4,1.0,0.9782608695652175,0.9473684210526316,0.9285714285714287,10,0,90,100,1.0,0.9,90
135,0.85,0.04,0.5,2.4,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
136,0.85,0.05,0.3,2.0,0.8,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
137,0.85,0.05,0.3,2.0,1.0,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
138,0.85,0.05,0.3,2.0,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
139,0.85,0.05,0.3,2.2,0.8,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
140,0.85,0.05,0.3,2.2,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
141,0.85,0.05,0.3,2.2,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
142,0.85,0.05,0.3,2.4,0.8,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
143,0.85,0.05,0.3,2.4,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
144,0.85,0.05,0.3,2.4,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
145,0.85,0.05,0.4,2.0,0.8,0.9782608695652175,0.9473684210526316,0.9285714285714287,10,0,90,100,1.0,0.9,90
146,0.85,0.05,0.4,2.0,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
147,0.85,0.05,0.4,2.0,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
148,0.85,0.05,0.4,2.2,0.8,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
149,0.85,0.05,0.4,2.2,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
150,0.85,0.05,0.4,2.2,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
151,0.85,0.05,0.4,2.4,0.8,0.9639830508474575,0.9430051813471503,0.9300314465408804,7,2,93,100,0.978494623655914,0.91,91
152,0.85,0.05,0.4,2.4,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
153,0.85,0.05,0.4,2.4,1.2,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
154,0.85,0.05,0.5,2.0,0.8,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
155,0.85,0.05,0.5,2.0,1.0,0.9782608695652175,0.9473684210526316,0.9285714285714287,10,0,90,100,1.0,0.9,90
156,0.85,0.05,0.5,2.0,1.2,0.9758771929824561,0.9417989417989417,0.9211783439490445,11,0,89,100,1.0,0.89,89
157,0.85,0.05,0.5,2.2,0.8,0.967391304347826,0.9368421052631579,0.9182539682539682,10,1,90,100,0.9888888888888889,0.89,89
158,0.85,0.05,0.5,2.2,1.0,0.9758771929824561,0.9417989417989417,0.9211783439490445,11,0,89,100,1.0,0.89,89
159,0.85,0.05,0.5,2.2,1.2,0.9758771929824561,0.9417989417989417,0.9211783439490445,11,0,89,100,1.0,0.89,89
160,0.85,0.05,0.5,2.4,0.8,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
161,0.85,0.05,0.5,2.4,1.0,0.9782608695652175,0.9473684210526316,0.9285714285714287,10,0,90,100,1.0,0.9,90
162,0.85,0.05,0.5,2.4,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
163,0.9,0.03,0.3,2.0,0.8,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
164,0.9,0.03,0.3,2.0,1.0,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
165,0.9,0.03,0.3,2.0,1.2,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
166,0.9,0.03,0.3,2.2,0.8,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
167,0.9,0.03,0.3,2.2,1.0,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
168,0.9,0.03,0.3,2.2,1.2,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
169,0.9,0.03,0.3,2.4,0.8,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
170,0.9,0.03,0.3,2.4,1.0,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
171,0.9,0.03,0.3,2.4,1.2,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
172,0.9,0.03,0.4,2.0,0.8,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
173,0.9,0.03,0.4,2.0,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
174,0.9,0.03,0.4,2.0,1.2,0.9606481481481479,0.9071038251366119,0.8758116883116882,17,0,83,100,1.0,0.83,83
175,0.9,0.03,0.4,2.2,0.8,0.9579439252336449,0.9010989010989011,0.8680781758957655,18,0,82,100,1.0,0.82,82
176,0.9,0.03,0.4,2.2,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
177,0.9,0.03,0.4,2.2,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
178,0.9,0.03,0.4,2.4,0.8,0.9579439252336449,0.9010989010989011,0.8680781758957655,18,0,82,100,1.0,0.82,82
179,0.9,0.03,0.4,2.4,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
180,0.9,0.03,0.4,2.4,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
181,0.9,0.03,0.5,2.0,0.8,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
182,0.9,0.03,0.5,2.0,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
183,0.9,0.03,0.5,2.0,1.2,0.9606481481481479,0.9071038251366119,0.8758116883116882,17,0,83,100,1.0,0.83,83
184,0.9,0.03,0.5,2.2,0.8,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
185,0.9,0.03,0.5,2.2,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
186,0.9,0.03,0.5,2.2,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
187,0.9,0.03,0.5,2.4,0.8,0.9579439252336449,0.9010989010989011,0.8680781758957655,18,0,82,100,1.0,0.82,82
188,0.9,0.03,0.5,2.4,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
189,0.9,0.03,0.5,2.4,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
190,0.9,0.04,0.3,2.0,0.8,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
191,0.9,0.04,0.3,2.0,1.0,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
192,0.9,0.04,0.3,2.0,1.2,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
193,0.9,0.04,0.3,2.2,0.8,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
194,0.9,0.04,0.3,2.2,1.0,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
195,0.9,0.04,0.3,2.2,1.2,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
196,0.9,0.04,0.3,2.4,0.8,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
197,0.9,0.04,0.3,2.4,1.0,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
198,0.9,0.04,0.3,2.4,1.2,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
199,0.9,0.04,0.4,2.0,0.8,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
200,0.9,0.04,0.4,2.0,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
201,0.9,0.04,0.4,2.0,1.2,0.9606481481481479,0.9071038251366119,0.8758116883116882,17,0,83,100,1.0,0.83,83
202,0.9,0.04,0.4,2.2,0.8,0.9579439252336449,0.9010989010989011,0.8680781758957655,18,0,82,100,1.0,0.82,82
203,0.9,0.04,0.4,2.2,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
204,0.9,0.04,0.4,2.2,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
205,0.9,0.04,0.4,2.4,0.8,0.9579439252336449,0.9010989010989011,0.8680781758957655,18,0,82,100,1.0,0.82,82
206,0.9,0.04,0.4,2.4,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
207,0.9,0.04,0.4,2.4,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
208,0.9,0.04,0.5,2.0,0.8,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
209,0.9,0.04,0.5,2.0,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
210,0.9,0.04,0.5,2.0,1.2,0.9606481481481479,0.9071038251366119,0.8758116883116882,17,0,83,100,1.0,0.83,83
211,0.9,0.04,0.5,2.2,0.8,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
212,0.9,0.04,0.5,2.2,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
213,0.9,0.04,0.5,2.2,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
214,0.9,0.04,0.5,2.4,0.8,0.9579439252336449,0.9010989010989011,0.8680781758957655,18,0,82,100,1.0,0.82,82
215,0.9,0.04,0.5,2.4,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
216,0.9,0.04,0.5,2.4,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
217,0.9,0.05,0.3,2.0,0.8,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
218,0.9,0.05,0.3,2.0,1.0,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
219,0.9,0.05,0.3,2.0,1.2,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
220,0.9,0.05,0.3,2.2,0.8,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
221,0.9,0.05,0.3,2.2,1.0,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
222,0.9,0.05,0.3,2.2,1.2,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
223,0.9,0.05,0.3,2.4,0.8,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
224,0.9,0.05,0.3,2.4,1.0,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
225,0.9,0.05,0.3,2.4,1.2,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
226,0.9,0.05,0.4,2.0,0.8,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
227,0.9,0.05,0.4,2.0,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
228,0.9,0.05,0.4,2.0,1.2,0.9606481481481479,0.9071038251366119,0.8758116883116882,17,0,83,100,1.0,0.83,83
229,0.9,0.05,0.4,2.2,0.8,0.9579439252336449,0.9010989010989011,0.8680781758957655,18,0,82,100,1.0,0.82,82
230,0.9,0.05,0.4,2.2,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
231,0.9,0.05,0.4,2.2,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
232,0.9,0.05,0.4,2.4,0.8,0.9579439252336449,0.9010989010989011,0.8680781758957655,18,0,82,100,1.0,0.82,82
233,0.9,0.05,0.4,2.4,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
234,0.9,0.05,0.4,2.4,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
235,0.9,0.05,0.5,2.0,0.8,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
236,0.9,0.05,0.5,2.0,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
237,0.9,0.05,0.5,2.0,1.2,0.9606481481481479,0.9071038251366119,0.8758116883116882,17,0,83,100,1.0,0.83,83
238,0.9,0.05,0.5,2.2,0.8,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
239,0.9,0.05,0.5,2.2,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
240,0.9,0.05,0.5,2.2,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
241,0.9,0.05,0.5,2.4,0.8,0.9579439252336449,0.9010989010989011,0.8680781758957655,18,0,82,100,1.0,0.82,82
242,0.9,0.05,0.5,2.4,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
243,0.9,0.05,0.5,2.4,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
